"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","g","","72","49741","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","g",,"73","49756","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","73","49829","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"74","49841","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","74","49923","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"75","49928","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","75","50046","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"76","50052","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","76","50149","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"77","50162","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"51856","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","76","51859","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"52047","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","75","52051","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"52905","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","74","52908","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","74","53621","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"75","53622","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","75","53641","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","75","53803","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","75","53804","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"76","53808","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","76","54494","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","77","54498","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"77","54502","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"78","54625","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Left",,,"56997","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Left",,,"57154","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Right",,,"58096","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","77","62187","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"78","62188","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",",","","78","63066","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",",",,"79","63067","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","79","63330","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"80","63330","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","79","66717","flower.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"80","66718","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"68357","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","83","68361","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","83","69637","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"84","69638","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","84","69660","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","84","69705","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","84","69706","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"85","69706","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","85","69722","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","85","69832","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","85","69833","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"86","69844","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","86","69951","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"87","69960","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","87","70065","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"88","70074","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","88","70253","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"89","70253","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","89","70273","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"70795","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","",". ","88","70799","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","88","71225","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"89","71226","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","89","71246","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"71721","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","e ","88","71725","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","88","71764","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","88","72205","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","88","72206","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"89","72236","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","89","72310","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"90","72311","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","90","72639","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"91","72640","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","91","72658","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"73532","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","",". ","90","73535","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"73741","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","e","89","73752","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"73918","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","l","88","73922","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"74117","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","87","74119","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"75190","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","l","86","75193","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","86","75726","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"87","75727","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","87","75755","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","87","75849","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","87","75850","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"88","75851","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","88","75876","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","88","75972","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","88","75973","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"89","75977","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","89","76146","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"90","76146","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","90","76164","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","90","76788","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","90","76789","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"91","76799","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","91","76955","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"92","76964","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","92","77028","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"93","77040","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","93","77755","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"94","77775","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","94","77873","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"95","77883","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","w","","95","77996","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","w",,"96","78020","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","96","78113","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"97","78117","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","97","78892","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","98","78894","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"98","78894","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"99","79016","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","'","","99","79350","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","'","","100","79352","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","'",,"100","79352","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80407","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","'","100","80410","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","'","99","80412","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"81266","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","100","81270","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","100","82385","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"101","82386","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","101","82408","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","101","82476","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","101","82477","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"102","82477","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","102","82509","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","102","82601","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","102","82602","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"103","82613","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","103","82775","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"104","82787","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","104","82955","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"105","82961","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","105","83389","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"106","83396","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","106","84180","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"107","84180","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","107","84234","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","107","97784","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","c","","107","97785","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","c",,"108","97796","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","108","97879","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"109","97889","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","109","98064","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"110","98075","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","110","98224","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"111","98231","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","111","98342","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"112","98348","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","112","99749","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","113","99752","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"113","99752","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","113","100752","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"114","100752","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","114","100772","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","114","101002","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","114","101003","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"115","101010","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","115","101262","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"116","101283","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","116","101404","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"117","101405","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","117","101590","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"118","101591","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","118","101715","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"119","101716","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Right",,,"102710","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"104987","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","121","104990","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"107865","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","e","118","107867","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"107977","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","l","117","107980","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"108147","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","p","116","108150","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"108333","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","115","108336","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"108544","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","u","114","108547","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"108903","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","p","113","108905","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","113","109141","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"114","109142","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","113","109179","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","p ","","113","109180","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","p","113","109179","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","113","109180","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","114","109243","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","114","109244","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"115","109245","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","115","109293","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","115","109471","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","115","109472","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"116","109483","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"111901","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","119","111905","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","113","115287","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","""",,"114","115288","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","117","116833","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","""",,"118","116834","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"118299","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","122","118301","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"121160","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","d","116","121162","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"121358","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","e","115","121360","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"121726","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","114","121728","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","114","122951","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"115","122952","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","""p""","113","123033","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","re ","","113","123034","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","re ","113","123034","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","""p ""","","113","123035","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","115","123188","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","115","123189","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"116","123189","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"117","123364","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","116","123364","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","117","123752","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"118","123753","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","118","123957","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"119","123959","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"120","124059","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","119","124059","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"125670","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","126","125673","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","123","126513","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"124","126514","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","urple","115","126532","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","115","126533","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","120","126534","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","115","126532","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","urple","","115","126533","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","124","126587","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","124","126588","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"125","126588","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","125","126602","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","125","126719","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","125","126720","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"126","126728","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","126","126916","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"127","126924","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","127","127079","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"128","127086","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","128","127188","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"129","127195","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","129","128081","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"130","128083","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","130","128117","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","130","133294","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","g","","130","133295","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","g",,"131","133305","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","131","133409","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"132","133420","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","132","133491","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"133","133494","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","133","133612","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"134","133616","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"136436","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","133","136438","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"136618","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","132","136621","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"136801","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","131","136803","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"136979","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","g","130","136982","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","c","","130","138243","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","c",,"131","138255","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","131","138430","flower.py","1.1.2 for 2021-2022 @t1","0"
