"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","","d","11","778949","Task1","1.1.2 for 2021-2022 @t1","0"
"e","i","","11","779332","Task1","1.1.2 for 2021-2022 @t1","0"
"k","i",,"12","779333","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","12","779351","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","12","779453","Task1","1.1.2 for 2021-2022 @t1","0"
"e","d","","12","779454","Task1","1.1.2 for 2021-2022 @t1","0"
"k","d",,"13","779453","Task1","1.1.2 for 2021-2022 @t1","0"
"e","s","","13","779565","Task1","1.1.2 for 2021-2022 @t1","0"
"k","s",,"14","779566","Task1","1.1.2 for 2021-2022 @t1","0"
"e","o","","14","779645","Task1","1.1.2 for 2021-2022 @t1","0"
"k","o",,"15","779646","Task1","1.1.2 for 2021-2022 @t1","0"
"e","n","","15","779734","Task1","1.1.2 for 2021-2022 @t1","0"
"k","n",,"16","779734","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"779991","Task1","1.1.2 for 2021-2022 @t1","0"
"e","
","","16","780033","Task1","1.1.2 for 2021-2022 @t1","0"
"e","#","","17","781641","Task1","1.1.2 for 2021-2022 @t1","0"
"k","#",,"18","781642","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"788903","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1","788908","Task1","1.1.2 for 2021-2022 @t1","0"
"e","C","","17","791845","Task1","1.1.2 for 2021-2022 @t1","0"
"k","C",,"18","791846","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","18","791876","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","18","792107","Task1","1.1.2 for 2021-2022 @t1","0"
"e","S","","18","792108","Task1","1.1.2 for 2021-2022 @t1","0"
"k","S",,"19","792108","Task1","1.1.2 for 2021-2022 @t1","0"
"e","1","","19","792567","Task1","1.1.2 for 2021-2022 @t1","0"
"k","1",,"20","792568","Task1","1.1.2 for 2021-2022 @t1","0"
"e","4","","20","792804","Task1","1.1.2 for 2021-2022 @t1","0"
"k","4",,"21","792805","Task1","1.1.2 for 2021-2022 @t1","0"
"e","0","","21","793030","Task1","1.1.2 for 2021-2022 @t1","0"
"k","0",,"22","793031","Task1","1.1.2 for 2021-2022 @t1","0"
"e","0","","22","793178","Task1","1.1.2 for 2021-2022 @t1","0"
"k","0",,"23","793180","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","19","800083","Task1","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"20","800084","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","24","801453","Task1","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"25","801454","Task1","1.1.2 for 2021-2022 @t1","0"
"e","-","","25","801773","Task1","1.1.2 for 2021-2022 @t1","0"
"k","-",,"26","801774","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","26","801943","Task1","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"27","801943","Task1","1.1.2 for 2021-2022 @t1","0"
"e","M","","27","838939","Task1","1.1.2 for 2021-2022 @t1","0"
"k","M",,"28","838940","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","28","838989","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","28","839317","Task1","1.1.2 for 2021-2022 @t1","0"
"e","O","","28","839318","Task1","1.1.2 for 2021-2022 @t1","0"
"k","O",,"29","839318","Task1","1.1.2 for 2021-2022 @t1","0"
"e","!","","29","840042","Task1","1.1.2 for 2021-2022 @t1","0"
"k","!",,"30","840043","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"840727","Task1","1.1.2 for 2021-2022 @t1","0"
"e","","!","29","840730","Task1","1.1.2 for 2021-2022 @t1","0"
"e","1","","29","840896","Task1","1.1.2 for 2021-2022 @t1","0"
"k","1",,"30","840897","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","30","840921","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"842348","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","30","842353","Task1","1.1.2 for 2021-2022 @t1","0"
"e","
","","30","842354","Task1","1.1.2 for 2021-2022 @t1","0"
"e","#","","31","843579","Task1","1.1.2 for 2021-2022 @t1","0"
"k","#",,"32","843580","Task1","1.1.2 for 2021-2022 @t1","0"
"e","A","","32","850899","Task1","1.1.2 for 2021-2022 @t1","0"
"k","A",,"33","850900","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","33","850938","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","33","851200","Task1","1.1.2 for 2021-2022 @t1","0"
"e","s","","33","851201","Task1","1.1.2 for 2021-2022 @t1","0"
"k","s",,"34","851201","Task1","1.1.2 for 2021-2022 @t1","0"
"e","s","","34","851334","Task1","1.1.2 for 2021-2022 @t1","0"
"k","s",,"35","851335","Task1","1.1.2 for 2021-2022 @t1","0"
"e","i","","35","851555","Task1","1.1.2 for 2021-2022 @t1","0"
"k","i",,"36","851556","Task1","1.1.2 for 2021-2022 @t1","0"
"e","g","","36","851761","Task1","1.1.2 for 2021-2022 @t1","0"
"k","g",,"37","851762","Task1","1.1.2 for 2021-2022 @t1","0"
"e","n","","37","851853","Task1","1.1.2 for 2021-2022 @t1","0"
"k","n",,"38","851854","Task1","1.1.2 for 2021-2022 @t1","0"
"e","m","","38","852090","Task1","1.1.2 for 2021-2022 @t1","0"
"k","m",,"39","852090","Task1","1.1.2 for 2021-2022 @t1","0"
"e","e","","39","852195","Task1","1.1.2 for 2021-2022 @t1","0"
"k","e",,"40","852196","Task1","1.1.2 for 2021-2022 @t1","0"
"e","n","","40","852271","Task1","1.1.2 for 2021-2022 @t1","0"
"k","n",,"41","852272","Task1","1.1.2 for 2021-2022 @t1","0"
"e","t","","41","852427","Task1","1.1.2 for 2021-2022 @t1","0"
"k","t",,"42","852428","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","42","853367","Task1","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"43","853368","Task1","1.1.2 for 2021-2022 @t1","0"
"e","2","","43","853496","Task1","1.1.2 for 2021-2022 @t1","0"
"k","2",,"44","853497","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","44","853521","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"854663","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","44","854667","Task1","1.1.2 for 2021-2022 @t1","0"
"e","
","","44","854668","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"854859","Task1","1.1.2 for 2021-2022 @t1","0"
"e","
","","45","854861","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Creating file /Users/user/Documents/CS1400/Davidson-Paige-Unit2/Task2",,,"988820","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Create Python script task1.py",,,"1075193","Task1","1.1.2 for 2021-2022 @t1","0"
"e","# Paige Davidson
# CS1400 - MO1
# Assignment 
","","0","1075336","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Reformat",,,"1075704","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","44","1075775","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Deleting file Task2",,,"1095121","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Deleting file Task1",,,"1101063","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","44","1105599","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"45","1105600","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","2","","45","1106455","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","2",,"46","1106456","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","46","1106516","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"1123453","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","46","1123463","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","46","1123464","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"1124153","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","48","1124155","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","48","1516072","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"49","1516073","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","49","1516105","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","49","1516178","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","49","1516179","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"50","1516183","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","50","1516221","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","50","1516599","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","v","","50","1516600","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","v",,"51","1516604","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","51","1516611","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","51","1516775","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","51","1516776","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"52","1516776","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","52","1517024","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"53","1517024","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","53","1517261","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"54","1517262","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","54","1517572","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"55","1517573","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","55","1517690","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"56","1517690","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","56","1517811","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"57","1517812","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","57","1517974","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"58","1517974","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","58","1518540","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"59","1518541","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","59","1518717","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"60","1518718","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","60","1518742","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","60","1518922","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","60","1518923","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"61","1518930","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","61","1519003","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","61","1519007","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","61","1519008","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"62","1519012","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","62","1519049","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","62","1519250","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","62","1519251","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"63","1519251","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","63","1519389","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"64","1519390","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","64","1519414","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"65","1519415","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","\","","65","1519773","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","\",,"66","1519773","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","\","","66","1520156","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","\",,"67","1520158","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1520698","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","\","66","1520702","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1520872","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","\","65","1520875","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1521033","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","64","1521037","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1521195","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","u","63","1521198","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1521373","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","62","1521376","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1521538","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","m","61","1521540","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1521694","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","m","60","1521698","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1521866","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","a","59","1521868","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1522036","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","58","1522040","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","58","1525089","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"59","1525091","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","59","1525107","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","59","1525237","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","59","1525238","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"60","1525238","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","60","1525388","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"61","1525389","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","61","1525554","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"62","1525555","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","62","1525679","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"63","1525681","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","63","1525743","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"64","1525743","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","64","1525874","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"65","1525875","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","65","1526658","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"66","1526659","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","=","","66","1526899","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","=",,"67","1526900","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","67","1527085","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"68","1527086","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","68","1537084","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"69","1537085","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","69","1537104","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","69","1537208","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","69","1537209","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"70","1537209","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","70","1537236","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","70","1537476","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","70","1537477","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"71","1537495","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","71","1537672","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"72","1537677","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","72","1537838","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"73","1537846","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","73","1539061","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","74","1539068","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"74","1539072","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","74","1540124","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","75","1540126","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","""",,"75","1540126","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","75","1540776","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"76","1540776","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","76","1540800","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","76","1540996","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","76","1540997","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"77","1540997","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1541428","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","76","1541431","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1541585","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","e","75","1541587","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","E","","75","1542811","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","E",,"76","1542811","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","76","1542832","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","76","1542994","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","76","1542995","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"77","1542995","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","77","1543201","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"78","1543202","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","78","1543437","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"79","1543438","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","79","1543577","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"80","1543578","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","80","1544446","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"81","1544447","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","I","","81","1546191","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","I",,"82","1546191","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","82","1546223","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","82","1546317","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","82","1546318","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"83","1546318","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","v","","83","1546667","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","v",,"84","1546667","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","84","1546791","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"85","1546791","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","85","1547659","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"86","1547660","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","86","1547913","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"87","1547913","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","87","1548070","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"88","1548071","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","88","1548179","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"89","1548180","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","89","1548278","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"90","1548279","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","90","1548392","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"91","1548392","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","91","1548958","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"92","1548959","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","A","","92","1549492","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","A",,"93","1549493","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","93","1549523","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","93","1549818","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","93","1549819","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"94","1549819","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","94","1549964","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"95","1549965","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","95","1550126","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"96","1550126","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","96","1550242","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"97","1550245","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","97","1550382","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"98","1550382","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","98","1550456","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"99","1550456","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",":","","99","1551070","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",":",,"100","1551071","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","""",,"101","1552363","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"102","1553065","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1595180","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","estment","51","1595201","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","estment","","51","1595592","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1597308","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","estment","51","1597310","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","56","1597311","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1597492","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","u","55","1597494","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1597663","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","54","1597666","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1597843","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","m","53","1597846","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","53","1599573","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"54","1599575","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","54","1599686","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1600875","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","m ","53","1600877","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"1602856","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","92","1602860","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","M","","92","1610476","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","M",,"93","1610476","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","93","1610502","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","93","1610974","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","93","1610975","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"94","1610988","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","P","","94","1612038","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","P",,"95","1612063","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","95","1612756","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"96","1612757","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","y","","96","1612988","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","y",,"97","1612990","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","\","","97","1613410","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","\",,"98","1613411","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1613896","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","\","97","1613899","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1614086","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","y","96","1614088","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1614253","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","a","95","1614254","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"1614415","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","P","94","1614417","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","94","1614899","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"95","1614900","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","95","1614929","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","95","1615033","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","95","1615034","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"96","1615033","task1.py","1.1.2 for 2021-2022 @t1","0"
